Image_No,Image_Name,Landslide,fallen_Tree,Struc_Damage,Garbage,Coverage,Visibility,Occlusion,Scene Context,Side,Distance
448,image_0448.jpg,1,1,0,0,1,1,1,1,2,1
449,image_0449.jpg,1,1,0,0,1,1,1,2,2,2
450,image_0450.jpg,1,1,0,0,1,1,1,2,0,1
451,image_0451.jpg,1,1,0,0,1,1,1,2,0,1
452,image_0452.jpg,1,1,0,0,1,1,1,3,0,1
453,image_0453.jpg,0,1,0,0,1,1,1,2,0,2
454,image_0454.jpg,1,0,0,0,3,3,2,3,0,2
455,image_0455.jpg,1,0,0,0,3,3,2,3,0,2
456,image_0456.jpg,1,0,0,0,3,1,3,1,1,1
457,image_0457.jpg,1,0,0,0,3,1,3,1,2,1
458,image_0458.jpg,1,0,0,0,3,1,3,3,1,2
459,image_0459.jpg,0,0,1,0,1,1,1,3,1,2
460,image_0460.jpg,0,0,1,0,2,2,1,2,1,0
461,image_0461.jpg,0,0,1,0,1,1,1,3,1,2
462,image_0462.jpg,0,0,1,0,1,1,1,3,1,2
463,image_0463.jpg,0,0,1,0,2,2,1,2,1,0
464,image_0464.jpg,1,0,0,0,2,2,3,1,1,0
465,image_0465.jpg,1,0,0,0,3,2,3,2,1,2
466,image_0466.jpg,1,0,0,0,3,2,3,1,1,1
467,image_0467.jpg,0,0,0,0,3,2,3,1,0,1
468,image_0468.jpg,0,0,0,0,3,1,3,3,0,2
469,image_0469.jpg,0,0,0,0,3,1,3,3,1,2
470,image_0470.jpg,0,0,0,0,3,2,3,1,1,1
471,image_0471.jpg,0,0,0,0,3,2,3,1,2,1
472,image_0472.jpg,0,0,0,0,3,1,3,2,2,2
473,image_0473.jpg,0,0,0,0,3,2,3,1,1,1
474,image_0474.jpg,1,0,0,0,2,1,2,1,1,0
475,image_0475.jpg,1,0,0,0,2,1,2,2,1,2
476,image_0476.jpg,1,0,0,0,3,1,0,1,0,1
477,image_0477.jpg,1,0,0,0,3,1,0,3,0,2
478,image_0478.jpg,0,0,0,0,2,1,3,1,1,0
479,image_0479.jpg,1,0,0,0,2,1,0,1,0,1
480,image_0480.jpg,0,0,0,0,2,1,1,1,1,0
481,image_0481.jpg,1,0,0,0,2,1,0,2,1,2
482,image_0482.jpg,0,0,0,0,2,1,2,1,1,0
483,image_0483.jpg,1,0,0,0,2,1,1,1,1,1
484,image_0484.jpg,0,0,0,0,1,1,2,1,1,0
485,image_0485.jpg,0,0,0,0,3,1,3,2,1,1
486,image_0486.jpg,0,0,0,0,3,1,3,3,1,2
487,image_0487.jpg,0,0,0,0,3,1,3,2,1,1
488,image_0488.jpg,0,0,0,0,3,1,3,1,1,0
489,image_0489.jpg,1,1,1,0,2,1,1,2,1,1
490,image_0490.jpg,1,1,1,0,2,1,2,1,1,0
491,image_0491.jpg,1,1,1,0,2,1,2,1,1,0
492,image_0492.jpg,1,1,1,0,2,1,1,2,1,1
493,image_0493.jpg,1,1,1,0,2,1,2,1,1,0
494,image_0494.jpg,0,1,1,0,1,2,2,1,1,0
495,image_0495.jpg,1,1,1,0,2,2,2,1,1,1
496,image_0496.jpg,0,1,1,0,1,2,2,1,1,0
497,image_0497.jpg,1,0,1,0,2,1,1,1,2,1
498,image_0498.jpg,1,0,1,0,3,1,2,2,2,2
499,image_0499.jpg,1,0,1,0,1,1,1,1,1,0
500,image_0500.jpg,1,1,0,0,2,2,1,1,2,1
501,image_0501.jpg,1,1,0,0,1,2,3,1,1,1
502,image_0502.jpg,1,1,0,0,1,2,3,1,1,1
503,image_0503.jpg,1,0,1,0,3,1,2,2,2,2
504,image_0504.jpg,1,1,1,0,2,1,2,1,1,1
505,image_0505.jpg,1,1,1,0,2,1,2,2,1,2
506,image_0506.jpg,1,1,1,0,3,1,1,2,1,2
507,image_0507.jpg,1,1,1,0,1,2,2,1,1,0
508,image_0508.jpg,1,1,0,0,3,1,1,2,1,2
509,image_0509.jpg,1,1,0,0,3,1,1,2,1,1
510,image_0510.jpg,1,1,0,0,3,1,1,2,1,1
511,image_0511.jpg,1,1,0,0,3,1,1,2,1,2
512,image_0512.jpg,1,0,1,0,1,1,1,1,1,0
513,image_0513.jpg,1,0,1,0,1,1,1,1,1,0
514,image_0514.jpg,0,1,1,0,1,2,2,1,1,0
515,image_0515.jpg,0,1,0,0,2,2,2,1,1,0
516,image_0516.jpg,0,1,0,0,2,2,2,2,1,1
517,image_0517.jpg,0,1,0,0,2,2,2,2,1,2
518,image_0518.jpg,1,1,1,0,2,2,2,2,1,1
519,image_0519.jpg,1,1,1,0,2,2,2,1,1,1
520,image_0520.jpg,0,1,1,1,2,3,3,1,1,1
521,image_0521.jpg,0,1,0,0,1,1,3,1,1,0
522,image_0522.jpg,1,1,1,1,2,2,3,2,1,1
523,image_0523.jpg,1,1,1,1,2,2,3,2,1,2
524,image_0524.jpg,1,1,1,1,2,2,3,3,1,2
525,image_0525.jpg,1,1,1,1,2,2,3,2,1,1
526,image_0526.jpg,1,1,1,1,2,2,3,2,1,2
527,image_0527.jpg,1,1,1,1,2,2,3,2,1,0
528,image_0528.jpg,1,1,1,0,3,1,2,3,1,2
529,image_0529.jpg,1,1,1,0,3,1,3,3,2,2
530,image_0530.jpg,1,1,1,1,2,2,3,2,1,2
531,image_0531.jpg,1,1,1,1,1,2,3,1,1,0
532,image_0532.jpg,0,1,0,0,1,2,1,1,1,0
533,image_0533.jpg,1,1,0,0,2,3,2,2,1,1
534,image_0534.jpg,1,1,0,0,3,3,2,3,1,2
535,image_0535.jpg,0,1,0,0,1,2,1,1,1,0
536,image_0536.jpg,1,0,0,0,2,3,2,1,2,1
537,image_0537.jpg,1,0,0,0,2,3,2,2,2,1
538,image_0538.jpg,1,0,0,0,1,1,2,1,2,0
539,image_0539.jpg,1,0,0,0,1,2,2,1,1,0
540,image_0540.jpg,1,0,0,0,1,2,2,1,1,1
541,image_0541.jpg,1,0,0,0,1,2,2,2,1,2
542,image_0542.jpg,1,0,0,0,1,2,2,1,1,0
543,image_0543.jpg,1,1,1,0,3,2,2,3,1,2
544,image_0544.jpg,1,1,0,0,2,1,2,1,1,0
545,image_0545.jpg,1,1,0,0,2,1,2,1,1,0
546,image_0546.jpg,1,0,0,0,2,2,3,1,2,1
547,image_0547.jpg,1,0,0,0,2,2,3,1,2,1
548,image_0548.jpg,1,0,0,0,2,2,3,1,2,1
549,image_0549.jpg,1,0,0,0,1,3,3,1,2,0
550,image_0550.jpg,1,0,0,0,1,3,3,1,2,0
551,image_0551.jpg,,,,,,,,,,
552,image_0552.jpg,,,,,,,,,,
553,image_0553.jpg,,,,,,,,,,
554,image_0554.jpg,,,,,,,,,,
555,image_0555.jpg,,,,,,,,,,
556,image_0556.jpg,,,,,,,,,,
557,image_0557.jpg,,,,,,,,,,
558,image_0558.jpg,,,,,,,,,,
559,image_0559.jpg,,,,,,,,,,
560,image_0560.jpg,,,,,,,,,,
561,image_0561.jpg,,,,,,,,,,
562,image_0562.jpg,,,,,,,,,,
563,image_0563.jpg,,,,,,,,,,
564,image_0564.jpg,,,,,,,,,,
565,image_0565.jpg,,,,,,,,,,
566,image_0566.jpg,,,,,,,,,,
567,image_0567.jpg,,,,,,,,,,
568,image_0568.jpg,,,,,,,,,,
569,image_0569.jpg,,,,,,,,,,
570,image_0570.jpg,,,,,,,,,,
571,image_0571.jpg,,,,,,,,,,
572,image_0572.jpg,,,,,,,,,,
573,image_0573.jpg,,,,,,,,,,
574,image_0574.jpg,,,,,,,,,,
575,image_0575.jpg,,,,,,,,,,
576,image_0576.jpg,,,,,,,,,,
577,image_0577.jpg,,,,,,,,,,
578,image_0578.jpg,,,,,,,,,,
579,image_0579.jpg,,,,,,,,,,
580,image_0580.jpg,,,,,,,,,,
581,image_0581.jpg,,,,,,,,,,
582,image_0582.jpg,,,,,,,,,,
583,image_0583.jpg,,,,,,,,,,
584,image_0584.jpg,,,,,,,,,,
585,image_0585.jpg,,,,,,,,,,
586,image_0586.jpg,,,,,,,,,,
587,image_0587.jpg,,,,,,,,,,
588,image_0588.jpg,,,,,,,,,,
589,image_0589.jpg,,,,,,,,,,
590,image_0590.jpg,,,,,,,,,,
591,image_0591.jpg,,,,,,,,,,
592,image_0592.jpg,,,,,,,,,,
593,image_0593.jpg,,,,,,,,,,
594,image_0594.jpg,,,,,,,,,,
595,image_0595.jpg,,,,,,,,,,
596,image_0596.jpg,,,,,,,,,,
597,image_0597.jpg,,,,,,,,,,
598,image_0598.jpg,,,,,,,,,,
599,image_0599.jpg,,,,,,,,,,
600,image_0600.jpg,,,,,,,,,,
601,image_0601.jpg,,,,,,,,,,
602,image_0602.jpg,,,,,,,,,,
603,image_0603.jpg,,,,,,,,,,
604,image_0604.jpg,,,,,,,,,,
605,image_0605.jpg,,,,,,,,,,
606,image_0606.jpg,,,,,,,,,,
607,image_0607.jpg,,,,,,,,,,
608,image_0608.jpg,,,,,,,,,,
609,image_0609.jpg,,,,,,,,,,
610,image_0610.jpg,,,,,,,,,,
611,image_0611.jpg,,,,,,,,,,
612,image_0612.jpg,,,,,,,,,,
613,image_0613.jpg,,,,,,,,,,
614,image_0614.jpg,,,,,,,,,,
615,image_0615.jpg,,,,,,,,,,
616,image_0616.jpg,,,,,,,,,,
617,image_0617.jpg,,,,,,,,,,
618,image_0618.jpg,,,,,,,,,,
619,image_0619.jpg,,,,,,,,,,
620,image_0620.jpg,,,,,,,,,,
621,image_0621.jpg,,,,,,,,,,
622,image_0622.jpg,,,,,,,,,,
623,image_0623.jpg,,,,,,,,,,
624,image_0624.jpg,,,,,,,,,,
625,image_0625.jpg,,,,,,,,,,
626,image_0626.jpg,,,,,,,,,,
627,image_0627.jpg,,,,,,,,,,
628,image_0628.jpg,,,,,,,,,,
629,image_0629.jpg,,,,,,,,,,
630,image_0630.jpg,,,,,,,,,,
631,image_0631.jpg,,,,,,,,,,
632,image_0632.jpg,,,,,,,,,,
633,image_0633.jpg,,,,,,,,,,
634,image_0634.jpg,,,,,,,,,,
635,image_0635.jpg,,,,,,,,,,
636,image_0636.jpg,,,,,,,,,,
637,image_0637.jpg,,,,,,,,,,
638,image_0638.jpg,,,,,,,,,,
639,image_0639.jpg,,,,,,,,,,
640,image_0640.jpg,,,,,,,,,,
641,image_0641.jpg,,,,,,,,,,
642,image_0642.jpg,,,,,,,,,,
643,image_0643.jpg,,,,,,,,,,
644,image_0644.jpg,,,,,,,,,,
645,image_0645.jpg,,,,,,,,,,
646,image_0646.jpg,,,,,,,,,,
647,image_0647.jpg,,,,,,,,,,
648,image_0648.jpg,,,,,,,,,,
649,image_0649.jpg,,,,,,,,,,
650,image_0650.jpg,,,,,,,,,,
651,image_0651.jpg,,,,,,,,,,
652,image_0652.jpg,,,,,,,,,,
653,image_0653.jpg,,,,,,,,,,
654,image_0654.jpg,,,,,,,,,,
655,image_0655.jpg,,,,,,,,,,
656,image_0656.jpg,,,,,,,,,,
657,image_0657.jpg,,,,,,,,,,
658,image_0658.jpg,,,,,,,,,,
659,image_0659.jpg,,,,,,,,,,
660,image_0660.jpg,,,,,,,,,,
661,image_0661.jpg,,,,,,,,,,
662,image_0662.jpg,,,,,,,,,,
663,image_0663.jpg,,,,,,,,,,
664,image_0664.jpg,,,,,,,,,,
665,image_0665.jpg,,,,,,,,,,
666,image_0666.jpg,,,,,,,,,,
667,image_0667.jpg,,,,,,,,,,
668,image_0668.jpg,,,,,,,,,,
669,image_0669.jpg,,,,,,,,,,
670,image_0670.jpg,,,,,,,,,,
671,image_0671.jpg,,,,,,,,,,
672,image_0672.jpg,,,,,,,,,,
673,image_0673.jpg,,,,,,,,,,
674,image_0674.jpg,,,,,,,,,,
675,image_0675.jpg,,,,,,,,,,
676,image_0676.jpg,,,,,,,,,,
677,image_0677.jpg,,,,,,,,,,
678,image_0678.jpg,,,,,,,,,,
679,image_0679.jpg,,,,,,,,,,
680,image_0680.jpg,,,,,,,,,,
681,image_0681.jpg,,,,,,,,,,
682,image_0682.jpg,,,,,,,,,,
683,image_0683.jpg,,,,,,,,,,
684,image_0684.jpg,,,,,,,,,,
685,image_0685.jpg,,,,,,,,,,
686,image_0686.jpg,,,,,,,,,,
687,image_0687.jpg,,,,,,,,,,
688,image_0688.jpg,,,,,,,,,,
689,image_0689.jpg,,,,,,,,,,
690,image_0690.jpg,,,,,,,,,,
691,image_0691.jpg,,,,,,,,,,
692,image_0692.jpg,,,,,,,,,,
693,image_0693.jpg,,,,,,,,,,
694,image_0694.jpg,,,,,,,,,,
695,image_0695.jpg,,,,,,,,,,
696,image_0696.jpg,,,,,,,,,,
697,image_0697.jpg,,,,,,,,,,
698,image_0698.jpg,,,,,,,,,,
699,image_0699.jpg,,,,,,,,,,
700,image_0700.jpg,,,,,,,,,,
701,image_0701.jpg,,,,,,,,,,
702,image_0702.jpg,,,,,,,,,,
703,image_0703.jpg,,,,,,,,,,
704,image_0704.jpg,,,,,,,,,,
705,image_0705.jpg,,,,,,,,,,
706,image_0706.jpg,,,,,,,,,,
707,image_0707.jpg,,,,,,,,,,
708,image_0708.jpg,,,,,,,,,,
709,image_0709.jpg,,,,,,,,,,
710,image_0710.jpg,,,,,,,,,,
711,image_0711.jpg,,,,,,,,,,
712,image_0712.jpg,,,,,,,,,,
713,image_0713.jpg,,,,,,,,,,
714,image_0714.jpg,,,,,,,,,,
715,image_0715.jpg,,,,,,,,,,
716,image_0716.jpg,,,,,,,,,,
717,image_0717.jpg,,,,,,,,,,
718,image_0718.jpg,,,,,,,,,,
719,image_0719.jpg,,,,,,,,,,
720,image_0720.jpg,,,,,,,,,,
721,image_0721.jpg,,,,,,,,,,
722,image_0722.jpg,,,,,,,,,,
723,image_0723.jpg,,,,,,,,,,
724,image_0724.jpg,,,,,,,,,,
725,image_0725.jpg,,,,,,,,,,
726,image_0726.jpg,,,,,,,,,,
727,image_0727.jpg,,,,,,,,,,
728,image_0728.jpg,,,,,,,,,,
729,image_0729.jpg,,,,,,,,,,
730,image_0730.jpg,,,,,,,,,,
731,image_0731.jpg,,,,,,,,,,
732,image_0732.jpg,,,,,,,,,,
733,image_0733.jpg,,,,,,,,,,
734,image_0734.jpg,,,,,,,,,,
735,image_0735.jpg,,,,,,,,,,
736,image_0736.jpg,,,,,,,,,,
737,image_0737.jpg,,,,,,,,,,
738,image_0738.jpg,,,,,,,,,,
739,image_0739.jpg,,,,,,,,,,
740,image_0740.jpg,,,,,,,,,,
741,image_0741.jpg,,,,,,,,,,
742,image_0742.jpg,,,,,,,,,,
743,image_0743.jpg,,,,,,,,,,
744,image_0744.jpg,,,,,,,,,,
745,image_0745.jpg,,,,,,,,,,
746,image_0746.jpg,,,,,,,,,,
747,image_0747.jpg,,,,,,,,,,
748,image_0748.jpg,,,,,,,,,,
749,image_0749.jpg,,,,,,,,,,
750,image_0750.jpg,,,,,,,,,,
751,image_0751.jpg,,,,,,,,,,
752,image_0752.jpg,,,,,,,,,,
753,image_0753.jpg,,,,,,,,,,
754,image_0754.jpg,,,,,,,,,,
755,image_0755.jpg,,,,,,,,,,
756,image_0756.jpg,,,,,,,,,,
757,image_0757.jpg,,,,,,,,,,
758,image_0758.jpg,,,,,,,,,,
759,image_0759.jpg,,,,,,,,,,
760,image_0760.jpg,,,,,,,,,,
761,image_0761.jpg,,,,,,,,,,
762,image_0762.jpg,,,,,,,,,,
763,image_0763.jpg,,,,,,,,,,
764,image_0764.jpg,,,,,,,,,,
765,image_0765.jpg,,,,,,,,,,
766,image_0766.jpg,,,,,,,,,,
767,image_0767.jpg,,,,,,,,,,
768,image_0768.jpg,,,,,,,,,,
769,image_0769.jpg,,,,,,,,,,
770,image_0770.jpg,,,,,,,,,,
771,image_0771.jpg,,,,,,,,,,
772,image_0772.jpg,,,,,,,,,,
773,image_0773.jpg,,,,,,,,,,
774,image_0774.jpg,,,,,,,,,,
775,image_0775.jpg,,,,,,,,,,
776,image_0776.jpg,,,,,,,,,,
777,image_0777.jpg,,,,,,,,,,
778,image_0778.jpg,,,,,,,,,,
779,image_0779.jpg,,,,,,,,,,
780,image_0780.jpg,,,,,,,,,,
781,image_0781.jpg,,,,,,,,,,
782,image_0782.jpg,,,,,,,,,,
783,image_0783.jpg,,,,,,,,,,
784,image_0784.jpg,,,,,,,,,,
785,image_0785.jpg,,,,,,,,,,
786,image_0786.jpg,,,,,,,,,,
787,image_0787.jpg,,,,,,,,,,
788,image_0788.jpg,,,,,,,,,,
789,image_0789.jpg,,,,,,,,,,
790,image_0790.jpg,,,,,,,,,,
791,image_0791.jpg,,,,,,,,,,
792,image_0792.jpg,,,,,,,,,,
